"bookID","title","authors","average_rating","isbn","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher"
"35414","Allegiance (Star Wars)","Timothy Zahn","3.99","345477383","9.78E+12","eng","324","6874","280","1/30/2007","Del Rey"
"35432","Wookiee Cookies: A Star Wars Cookbook","Robin  Davis/Frankie Frankeny","3.93","811821846","9.78E+12","eng","132","952","57","9/1/1998","Chronicle Books"
"35439","Complete Star Wars Trilogy Scrapbook Re-issue","David Levithan/Ryder Windham/Marc Cotta Vaz","3.14","439681308","9.78E+12","eng","64","7","1","10/1/2004","Scholastic Paperbacks"
"36071","First Things First","Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill","4.1","684802031","9.78E+12","eng","384","33724","350","1/17/1996","Free Press"
"36303","Salem's Lot","Stephen King","4.02","451139690","9.78E+12","eng","427","186","22","8/1/1976","Signet"
"36489","Justice Oliver Wendell Holmes: Law and the Inner Self","G. Edward White","3.67","195101286","9.78E+12","eng","648","17","2","12/19/1995","Oxford University Press  USA"
"37731","Just as Long as We're Together","Judy Blume","4.07","330398040","9.78E+12","eng","202","9375","422","4/9/2001","Macmillan Children's Books"
"38572","Last Bite","Nancy Verde Barr","3.42","1565124952","9.78E+12","eng","308","372","66","6/9/2006","Algonquin Books"
"38788","The Burning Plain and Other Stories","Juan Rulfo/Kermit Oliver/George D. Schade","4.19","292701322","9.78E+12","en-US","191","337","45","1/1/1971","University of Texas Press"
"38988","Awakening (Chasing Yesterday  #1)","Robin Wasserman","3.95","439933382","9.78E+12","en-US","207","2569","297","5/1/2007","Scholastic Paperbacks"
"39476","Stephen Biesty's Incredible Explosions","Stephen Biesty/Richard Platt","4.41","789410249","9.78E+12","eng","32","30","2","7/1/1996","DK Publishing (Dorling Kindersley)"
"39905","A Year in Chocolate: Four Seasons of Unforgettable Desserts","Alice Medrich","3.74","446526649","9.78E+12","eng","152","28","1","10/24/2001","Warner Books (NY)"
"40551","PHP and MySQL for Dummies","Janet Valade","3.55","764555898","9.78E+12","en-US","456","12","2","4/9/2004","For Dummies"
"40929","The Rise of Theodore Roosevelt","Edmund Morris","4.23","375756787","9.78E+12","eng","780","36847","1461","11/20/2001","Random House Trade Paperbacks"
"41378","Flirting With Danger","Kate Walker","3","","9.78E+12","eng","188","12","4","6/1/1996","Harlequin"
"41717","Clive Cussler and Dirk Pitt Revealed","Clive Cussler/Craig Dirgo","3.88","671026224","9.78E+12","eng","544","2066","35","10/1/1998","Pocket Books"
"41822","The Stars  Like Dust (Galactic Empire  #1)","Isaac Asimov","3.74","553293435","9.78E+12","eng","304","12547","424","12/1/1991","Spectra"
"42148","Kissing the Beehive (Crane's View  #1)","Jonathan Carroll","3.7","575402911","9.78E+12","eng","256","808","40","8/10/2000","Orion"
"42955","The Drifters","James A. Michener","4.04","449213536","9.78E+12","eng","768","6253","353","10/12/1986","Fawcett Books"
"43015","A Long Way Gone: Memoirs of a Boy Soldier","Ishmael Beah","4.16","374105235","9.78E+12","eng","229","147820","9547","2/13/2007","Sarah Crichton Books"
"43068","True Blue: The Oxford Boat Race Mutiny","Daniel Topolski/Patrick Robinson","4.24","553400037","9.78E+12","en-US","320","69","13","2/23/1990","Bantam"
"44513","The Roald Dahl Omnibus: Perfect Bedtime Stories for Sleepless Nights","Roald Dahl","4.35","880291230","9.78E+12","eng","681","2276","170","6/13/1993","Barnes & Noble"
"44790","Lo único que no podrás hacer en el cielo","Mark Cahill","4.13","964366568","9.78E+12","spa","255","15","0","3/1/2007","Mark Cahill Ministries"
"45101","The Mad Ship (Liveship Traders  #2)","Robin Hobb","4.23","6498868","9.78E+12","eng","906","38753","893","2/4/2008","Harper Voyager"
"45455","Artemis Fowl (Artemis Fowl  #1)","Eoin Colfer/Ana Alcaina","3.84","8497939204","9.79E+12","spa","286","45","3","3/30/2006","DEBOLS!LLO"
"45604","Narraciones Extraordinarias","Edgar Allan Poe","4.13","9583006408","9.79E+12","spa","316","36","4","6/1/2004","Panamericana Editorial"
"45641","Las aventuras de Tom Sawyer","Mark Twain","3.91","8497646983","9.79E+12","spa","272","113","12","5/28/2006","Edimat Libros"
